PLAYER_NAME,AGE,TEAM,POSITION,G,GAMES_STARTED,MIN,FG,FGA,FG_PCT,3P,3PA,3P_PCT,2P,2PA,2P_PCT,EFG_PCT,FT,FTA,FT_PCT,ORB,DRB,REB,AST,STL,BLK,TOV,PF,PTS,AWARDS,SEASON,PER,TS_PCT,3PAR,FTR,ORB_PCT,DRB_PCT,TRB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT,USG_PCT,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP,LAST_TEAM,DATA_TYPE,POSITION_GROUP,PLAYER_NAME_RAW,SALARY,SALARY_M,SALARY_TOTAL_M,YEARS_REMAINING,SALARY_AVG_PER_YR_M,SALARY_TIER,WIN_IMPACT_RAW,WIN_IMPACT_SCORE,UNDERVALUED_FLAG,GP_PCT,AVAIL_ROLLING,AVAILABILITY_SCORE,POS_C,POS_F,POS_G,PREDICTED_SALARY_M,MARKET_DELTA,MARKET_DELTA_CLIPPED,MARKET_DELTA_INV,MARKET_SCORE,OVERPAID_MAX_FLAG,PLAYMAKER_FLAG,AGE_SCORE_RAW,AGE_SCORE,SALARY_CAP_PCT,BPM_PERCENTILE,CAP_EFFICIENCY_RAW,CAP_EFFICIENCY_SCORE,EXPECTED_MIN,MIN_RATIO,ROLE_FIT_SCORE,APRON_SCORE,TEAM_PAYROLL_M,APRON_STATUS,PAYROLL_SHARE_PCT,PAYROLL_CONTEXT_SCORE,ACCOLADES_RAW,ACCOLADES_SCORE,MARKETABILITY_SCORE,JERSEY_SALES_SCORE,CONTRACT_TYPE,CONTRACT_TYPE_SCORE,SOCIAL_MEDIA_SCORE,INJURY_RISK_SCORE,TEAM_WINPCT_DELTA,CVI_SCORE,CVI_VERDICT,ROOKIE_SCALE_FLAG,SALARY_TIER_PERCENTILE,BPM_TIER_PERCENTILE,CVI_PLAYER_SCORE,CVI_PLAYER_VERDICT,CVI_GAP,PLAYOFF_SEASON,PLAYOFF_G,PLAYOFF_BPM,PLAYOFF_BPM_DELTA,DELTA_SCORE,PLAYOFF_BPM_SCORE,PLAYOFF_G_CAPPED,EXPERIENCE_SCORE,PRESSURE_SCORE,CVI_SCORE_FINAL,CVI_PLAYER_SCORE_FINAL,CVI_GAP_FINAL,CVI_VERDICT_FINAL,PLAYOFF_IMPACT,DISPLAY_TIER,MODEL_PROB,MODEL_VERDICT,LABEL,LABEL_SOURCE,CONDITIONS_MET,TEAM_WINPCT
A.J. Green,23,MIL,SG,35.0,1.0,9.9,1.5,3.6,0.424,1.3,3.0,0.419,0.3,0.6,0.45,0.6,0.1,0.1,1.0,0.2,1.1,1.3,0.6,0.2,0.0,0.3,0.9,4.4,,2022-23,11.5,0.607,0.84,0.032,1.9,11.3,6.8,8.7,0.8,0.0,6.6,16.6,0.5,0.3,0.8,0.111,-0.3,-0.6,-0.9,0.1,MIL,training,G,A.J. Green,,,47.3,5.0,9.46,unknown,-0.125,56.7,0,0.4268292682926829,0.4268292682926829,24.2,False,False,True,4.53,,,,,0,0,72.6,72.6,,52.4,,,20,0.495,31.5,50.0,190.75,below,,50.0,0.0,0.0,50.0,50.0,unknown,50.0,50.0,50.0,,48.0,borderline,0,,85.0,48.7,borderline,-0.7,,,,,,,,,50.0,48.4,49.1,-0.7,borderline,0.4,unknown,,,1.0,auto_v2,3.0,0.707
A.J. Green,24,MIL,SG,56.0,0.0,11.0,1.5,3.5,0.423,1.2,3.0,0.408,0.3,0.5,0.519,0.599,0.3,0.3,0.895,0.2,1.0,1.1,0.5,0.2,0.1,0.2,0.9,4.5,,2023-24,10.5,0.617,0.862,0.0969999999999999,1.6,9.6,5.7,6.4,0.7,0.6,5.5,15.2,0.7,0.3,1.1,0.084,-0.4,-1.7,-2.1,0.0,MIL,training,G,A.J. Green,,,47.3,5.0,9.46,unknown,-0.5650000000000001,50.7,0,0.6829268292682927,0.586890243902439,45.4,False,False,True,5.05,,,,,0,0,83.5,83.5,,35.2,,,20,0.55,36.2,50.0,200.0,below,,50.0,0.0,0.0,50.0,50.0,unknown,50.0,50.0,50.0,,51.8,borderline,0,,55.9,53.1,borderline,-1.3,,,,,,,,,50.0,52.0,53.2,-1.2,borderline,0.2,unknown,,,1.0,auto_v2,3.0,0.598
A.J. Green,25,MIL,SG,73.0,7.0,22.7,2.5,5.8,0.429,2.1,5.0,0.427,0.4,0.8,0.4429999999999999,0.612,0.3,0.4,0.815,0.2,2.1,2.4,1.5,0.5,0.1,0.5,2.2,7.4,,2024-25,9.2,0.621,0.856,0.064,1.2,9.8,5.7,8.5,1.1,0.4,8.4,12.6,1.6,1.3,2.8,0.0819999999999999,-1.7,-0.4,-2.2,-0.1,MIL,training,G,A.J. Green,,,47.3,5.0,9.46,unknown,-0.2150000000000002,55.5,0,0.8902439024390244,0.7353658536585366,65.0,False,False,True,6.21,,,,,0,0,92.3,92.3,,30.9,,,20,1.135,86.0,50.0,183.17,below,,50.0,0.0,0.0,50.0,50.0,unknown,50.0,50.0,50.0,,61.5,good,0,,70.0,63.8,good,-2.3,,,,,,,,,50.0,60.9,63.0,-2.1,good,-0.6,unknown,,,1.0,auto_v2,3.0,0.585
A.J. Green,26,MIL,SG,76.0,66.0,28.9,3.2,7.7,0.418,2.8,6.9,0.412,0.4,0.8,0.467,0.603,0.7,0.8,0.85,0.3,2.3,2.7,1.9,0.5,0.1,0.9,2.3,9.9,,2025-26,9.0,0.618,0.897,0.103,1.4,9.1,5.2,9.1,0.8,0.4,10.6,13.8,1.7,0.3,2.0,0.044,-1.8,-1.8,-3.6,-0.9,MIL,current,G,A.J. Green,,,47.3,5.0,9.46,unknown,-1.255,41.5,0,0.926829268292683,0.8670731707317074,82.4,False,False,True,3.08,,,,,0,0,98.0,98.0,,15.1,,,20,1.3,100.0,50.0,153.69,below,,50.0,0.0,0.0,50.0,50.0,unknown,50.0,50.0,50.0,,63.6,good,0,,43.6,66.0,good,-2.4,,,,,,,,,50.0,62.8,65.2,-2.4,good,-0.8,unknown,100.0,good,,,,
A.J. Lawson,23,DAL,SG,42.0,0.0,7.4,1.3,2.9,0.446,0.3,1.2,0.26,1.0,1.7,0.5770000000000001,0.5,0.4,0.5,0.652,0.3,0.9,1.2,0.5,0.2,0.1,0.3,0.5,3.2,,2023-24,11.2,0.519,0.413,0.19,4.9,12.6,8.8,8.9,1.5,0.8,9.6,20.0,0.0,0.3,0.2,0.036,-3.1,-1.5,-4.6,-0.2,DAL,training,G,A.J. Lawson,1000000.0,1.0,,,,role,-1.86,31.5,0,0.5121951219512195,0.5121951219512195,35.5,False,False,True,3.41,-2.41,-2.41,2.41,70.8,0,0,72.6,72.6,0.7352941176470588,9.7,5.1,51.3,18,0.4111111111111111,24.3,50.0,163.22,below,0.6,100.0,0.0,0.0,50.0,50.0,unknown,50.0,50.0,50.0,,49.4,borderline,1,6.1,11.2,45.2,borderline,4.2,2023-24,10.0,0.1,4.7,60.6,50.7,10.0,0.0,45.5,49.3,45.6,3.7,bad,-0.1,rookie scale,,,0.0,auto_v2,1.0,
A.J. Lawson,24,TOR,SG,26.0,2.0,18.7,3.1,7.3,0.421,1.3,3.9,0.327,1.8,3.4,0.528,0.508,1.7,2.4,0.6829999999999999,0.8,2.5,3.3,1.2,0.5,0.2,0.6,1.7,9.1,,2024-25,12.7,0.542,0.532,0.332,4.3,14.9,9.5,9.1,1.3,1.2,6.4,20.0,0.4,0.4,0.8,0.081,-1.5,-1.0,-2.5,-0.1,TOR,training,G,A.J. Lawson,2120693.0,2.12,,,,role,-0.835,38.2,0,0.3170731707317073,0.3902439024390244,19.4,False,False,True,4.5,-2.38,-2.38,2.38,70.8,0,0,83.5,83.5,1.507823613086771,26.4,0.0,48.5,18,1.0388888888888888,77.8,50.0,133.62,below,1.6,100.0,0.0,0.0,50.0,50.0,unknown,50.0,50.0,50.0,,54.2,borderline,1,31.1,31.1,50.2,borderline,4.0,2023-24,10.0,0.1,4.7,60.6,50.7,10.0,0.0,45.5,53.8,50.1,3.7,borderline,-0.4,rookie scale,,,0.0,auto_v2,1.0,0.366
A.J. Lawson,25,TOR,SG,22.0,0.0,8.8,1.3,3.0,0.433,0.7,1.7,0.432,0.6,1.4,0.433,0.552,0.5,0.7,0.75,0.3,1.4,1.7,0.3,0.5,0.2,0.3,1.1,3.9,,2025-26,13.1,0.581,0.552,0.239,4.1,17.8,10.9,4.2,2.8,2.0,7.5,17.8,0.1,0.3,0.5,0.113,-1.9,0.7,-1.3,0.0,TOR,current,G,A.J. Lawson,2270735.0,2.27,,,,role,-0.395,41.1,0,0.2682926829268293,0.3317073170731707,11.6,False,False,True,5.21,-2.94,-2.94,2.94,72.0,0,0,92.3,92.3,1.6099290780141846,45.6,27.8,64.1,18,0.4888888888888889,31.0,50.0,186.56,below,1.2,100.0,0.0,0.0,50.0,50.0,unknown,50.0,50.0,50.0,,51.9,borderline,0,22.5,50.3,47.9,borderline,4.0,2023-24,10.0,0.1,4.7,60.6,50.7,10.0,0.0,45.5,51.7,48.0,3.7,borderline,-0.2,role,0.5,bad,,,,
AJ Griffin,19,ATL,SF,72.0,12.0,19.5,3.4,7.4,0.465,1.4,3.6,0.39,2.0,3.8,0.536,0.56,0.6,0.7,0.894,0.5,1.6,2.1,1.0,0.6,0.2,0.6,1.2,8.9,,2022-23,12.6,0.5770000000000001,0.486,0.088,2.9,9.2,6.0,7.0,1.4,0.7,7.1,17.9,1.3,0.9,2.2,0.075,-0.3,-0.5,-0.8,0.4,ATL,training,F,AJ Griffin,3536160.0,3.54,,,,role,0.37,46.1,0,0.8780487804878049,0.8780487804878049,83.9,False,True,False,4.63,-1.09,-1.09,1.09,67.9,0,0,32.5,32.5,2.86176232821342,53.9,6.800000000000004,52.3,18,1.0833333333333333,81.6,50.0,159.95000000000002,below,2.2,100.0,0.0,0.0,50.0,50.0,unknown,50.0,50.0,50.0,,60.0,good,1,55.4,62.2,57.3,good,2.7,,,,,,,,,50.0,59.3,57.2,2.1,borderline,-0.7,rookie scale,,,1.0,auto_v2,4.0,0.5
AJ Griffin,20,ATL,SF,20.0,0.0,8.6,0.9,3.1,0.29,0.5,2.0,0.256,0.4,1.2,0.348,0.371,0.1,0.1,1.0,0.1,0.8,0.9,0.3,0.1,0.1,0.4,0.3,2.4,,2023-24,1.2,0.382,0.629,0.032,1.2,10.6,5.7,3.7,0.3,1.1,11.3,17.3,-0.4,0.0,-0.4,-0.12,-6.0,-3.5,-9.6,-0.3,ATL,training,F,AJ Griffin,3712920.0,3.71,,,,role,-4.045,17.3,0,0.2439024390243902,0.4817073170731707,31.5,False,True,False,1.95,1.76,1.76,-1.76,61.6,0,0,43.0,43.0,2.7279411764705883,0.8,-49.7,20.5,18,0.4777777777777777,30.0,50.0,149.35,below,2.5,100.0,0.0,0.0,50.0,50.0,unknown,50.0,50.0,50.0,,38.9,borderline,1,50.8,1.1,32.9,borderline,6.0,,,,,,,,,50.0,39.8,34.7,5.1,bad,0.9,rookie scale,,,0.0,auto_v2,1.0,0.439
AJ Johnson,20,2TM,SG,29.0,11.0,22.0,2.8,7.3,0.385,0.8,3.1,0.267,2.0,4.2,0.472,0.441,1.1,1.3,0.865,0.3,1.8,2.0,2.6,0.4,0.1,1.2,1.7,7.6,,2024-25,7.1,0.48,0.423,0.174,1.3,8.3,4.8,17.1,0.9,0.4,13.2,17.4,-0.5,0.0,-0.4,-0.032,-5.6,-2.5,-8.1,-1.0,WAS,training,G,AJ Johnson,2795294.0,2.8,,,,role,-3.69,19.6,0,0.3536585365853658,0.3536585365853658,14.5,False,False,True,-1.77,4.57,4.57,-4.57,55.4,0,0,37.5,37.5,1.991465149359886,1.1,-43.1,24.2,18,1.2222222222222223,93.4,50.0,171.27,below,1.6,100.0,0.0,0.0,50.0,50.0,unknown,50.0,50.0,50.0,,41.7,borderline,1,43.7,0.6,35.4,borderline,6.3,,,,,,,,,50.0,42.5,36.8,5.7,bad,0.8,rookie scale,,,0.0,auto_v2,1.0,0.22
